epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.8885,1.09692,1.28715,1.17781,0.74101,0.62328,0.70406,0.55299,0.91378,0.74648,0.97173,8.33e-06,8.33e-06,8.33e-06
2,167.825,1.04,1.12251,1.15111,0.73477,0.64969,0.72237,0.56721,0.90774,0.72849,0.96874,1.69664e-05,1.69664e-05,1.69664e-05
3,244.54,1.13286,1.11436,1.15717,0.7211,0.66315,0.72586,0.57527,0.90346,0.72241,0.96725,2.46604e-05,2.46604e-05,2.46604e-05
4,320.8,1.09573,1.03661,1.14812,0.70258,0.68848,0.73457,0.58129,0.90341,0.7239,0.96531,3.14118e-05,3.14118e-05,3.14118e-05
5,401.493,1.07274,1.01216,1.15498,0.72499,0.68391,0.74166,0.59361,0.8976,0.72411,0.9597,3.72208e-05,3.72208e-05,3.72208e-05
6,491.025,1.0682,0.94302,1.13726,0.80301,0.66225,0.74723,0.60064,0.8921,0.71541,0.95517,4.20873e-05,4.20873e-05,4.20873e-05
7,572.703,1.03168,0.92066,1.09693,0.7636,0.68438,0.75308,0.60456,0.88267,0.70058,0.95039,4.60114e-05,4.60114e-05,4.60114e-05
8,658.79,1.05039,0.92218,1.10966,0.7221,0.71927,0.75623,0.60796,0.87425,0.68254,0.94662,4.89929e-05,4.89929e-05,4.89929e-05
9,733.162,1.03658,0.90085,1.09258,0.77312,0.70175,0.76324,0.61519,0.86557,0.65986,0.94156,5.1032e-05,5.1032e-05,5.1032e-05
10,807.953,1.0173,0.88504,1.09498,0.82629,0.68192,0.76754,0.62003,0.8595,0.64263,0.93767,5.21285e-05,5.21285e-05,5.21285e-05
11,883.107,0.95756,0.89586,1.0254,0.85014,0.67574,0.77447,0.62143,0.85087,0.63664,0.93129,5.22827e-05,5.22827e-05,5.22827e-05
12,957.344,0.96573,0.85424,1.00027,0.84294,0.67932,0.78087,0.62524,0.85086,0.6305,0.92969,5.14943e-05,5.14943e-05,5.14943e-05
13,1029.23,0.93907,0.79843,1.01619,0.82926,0.6835,0.78009,0.6263,0.84746,0.62727,0.92712,4.8314e-05,4.8314e-05,4.8314e-05
14,1102.52,0.92161,0.73926,0.99431,0.71977,0.7639,0.79457,0.62903,0.84276,0.6238,0.92572,4.24235e-05,4.24235e-05,4.24235e-05
15,1175.13,0.90244,0.70379,0.9844,0.73412,0.74099,0.79392,0.62965,0.83756,0.61696,0.92408,3.6533e-05,3.6533e-05,3.6533e-05
16,1248.5,0.89587,0.6985,0.98972,0.77055,0.72222,0.79375,0.63127,0.83207,0.60666,0.92148,3.06425e-05,3.06425e-05,3.06425e-05
17,1320.51,0.89191,0.69286,0.98167,0.79053,0.71366,0.79504,0.63313,0.82642,0.60077,0.91965,2.4752e-05,2.4752e-05,2.4752e-05
18,1393.3,0.91363,0.70364,0.98746,0.82488,0.70547,0.79679,0.63457,0.82128,0.59625,0.91751,1.88615e-05,1.88615e-05,1.88615e-05
19,1464.43,0.89846,0.71983,1.00429,0.83715,0.69812,0.79958,0.63888,0.81916,0.59547,0.91689,1.2971e-05,1.2971e-05,1.2971e-05
20,1536.92,0.86266,0.65351,0.98558,0.83733,0.69764,0.80066,0.63763,0.81687,0.5936,0.91612,7.0805e-06,7.0805e-06,7.0805e-06
